dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,2.833500,0.000029,0.005705,0.570523,57.052268,0.000000
0.010000,0.000093,2.833500,0.000121,0.009263,0.355784,-21.473866,0.000000
0.010000,0.000349,2.833500,0.000378,0.025674,1.641045,128.526134,0.000000
0.010000,0.000806,2.833500,0.000834,0.045642,1.996829,35.578402,0.000000
0.010000,0.001519,2.833500,0.001547,0.071315,2.567352,57.052268,0.000000
0.010000,0.002546,2.833500,0.002574,0.102694,3.137875,57.052268,0.000000
0.010000,0.003944,2.833500,0.003972,0.139778,3.708397,57.052268,0.000000
0.010000,0.005769,2.833500,0.005798,0.182567,4.278920,57.052268,0.000000
0.010000,0.008080,2.833500,0.008108,0.231062,4.849443,57.052268,0.000000
0.010000,0.010933,2.833500,0.010961,0.285261,5.419965,57.052268,0.000000
0.010000,0.014384,2.833500,0.014413,0.345166,5.990488,57.052268,0.000000
0.010000,0.018492,2.833500,0.018521,0.410776,6.561011,57.052268,0.000000
0.010000,0.023313,2.833500,0.023341,0.482092,7.131534,57.052268,0.000000
0.010000,0.028904,2.833500,0.028933,0.559112,7.702056,57.052268,0.000000
0.010000,0.035294,2.833500,0.035322,0.638985,7.987318,28.526134,0.000000
0.010000,0.042482,2.833500,0.042511,0.718859,7.987318,0.000000,0.000000
0.010000,0.050470,2.833500,0.050498,0.798732,7.987318,-0.000000,0.000000
0.010000,0.059256,2.833500,0.059284,0.878605,7.987318,0.000000,0.000000
0.010000,0.068841,2.833500,0.068869,0.958478,7.987318,-0.000000,0.000000
0.010000,0.079224,2.833500,0.079253,1.038351,7.987318,0.000000,0.000000
0.010000,0.090406,2.833500,0.090435,1.118224,7.987318,-0.000000,0.000000
0.010000,0.102387,2.833500,0.102416,1.198098,7.987318,0.000000,0.000000
0.010000,0.115167,2.833500,0.115196,1.277971,7.987318,0.000000,0.000000
0.010000,0.128745,2.833500,0.128774,1.357844,7.987318,-0.000000,0.000000
0.010000,0.143123,2.833500,0.143151,1.437717,7.987318,0.000000,0.000000
0.010000,0.158299,2.833500,0.158327,1.517590,7.987318,-0.000000,0.000000
0.010000,0.174273,2.833500,0.174302,1.597464,7.987318,-0.000000,0.000000
0.010000,0.191047,2.833500,0.191075,1.677337,7.987318,0.000000,0.000000
0.010000,0.208619,2.833500,0.208647,1.757210,7.987318,0.000000,0.000000
0.010000,0.226990,2.833500,0.227018,1.837083,7.987318,-0.000000,0.000000
0.010000,0.246159,2.833500,0.246188,1.916956,7.987318,0.000000,0.000000
0.010000,0.266127,2.833500,0.266156,1.996829,7.987318,-0.000000,0.000000
0.010000,0.286894,2.833500,0.286923,2.076703,7.987318,-0.000000,0.000000
